,PIE Root,Persian Word,English Word,PIE URL,Persian URL,English URL
0,*(s)tewd-,تند,stot,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/(s)tewd-,https://en.wiktionary.org/wiki/%D8%AA%D9%86%D8%AF,https://en.wiktionary.org/wiki/stot
1,*(s)tewd-,تند,study,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/(s)tewd-,https://en.wiktionary.org/wiki/%D8%AA%D9%86%D8%AF,https://en.wiktionary.org/wiki/study
2,*kʷey-,گزیدن,whey,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/k%CA%B7ey-,https://en.wiktionary.org/wiki/%DA%AF%D8%B2%DB%8C%D8%AF%D9%86,https://en.wiktionary.org/wiki/whey
3,*leykʷ-,ریختن,twelve,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/leyk%CA%B7-,https://en.wiktionary.org/wiki/%D8%B1%DB%8C%D8%AE%D8%AA%D9%86,https://en.wiktionary.org/wiki/twelve
4,*prew-,پریدن,frosh,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/prew-,https://en.wiktionary.org/wiki/%D9%BE%D8%B1%DB%8C%D8%AF%D9%86,https://en.wiktionary.org/wiki/frosh
5,*prew-,پریدن,frosk,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/prew-,https://en.wiktionary.org/wiki/%D9%BE%D8%B1%DB%8C%D8%AF%D9%86,https://en.wiktionary.org/wiki/frosk
6,*meh₁-,مات,meal,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/meh%E2%82%81-,https://en.wiktionary.org/wiki/%D9%85%D8%A7%D8%AA,https://en.wiktionary.org/wiki/meal
7,*h₂erǵ-,ارزیز,argumentative,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/h%E2%82%82er%C7%B5-,https://en.wiktionary.org/wiki/%D8%A7%D8%B1%D8%B2%DB%8C%D8%B2,https://en.wiktionary.org/wiki/argumentative
8,*dyew-,لیو,jovial,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/dyew-,https://en.wiktionary.org/wiki/%D9%84%DB%8C%D9%88,https://en.wiktionary.org/wiki/jovial
9,*h₂ep-,آب,ape,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/h%E2%82%82ep-,https://en.wiktionary.org/wiki/%D8%A2%D8%A8,https://en.wiktionary.org/wiki/ape
10,*peh₂-,آباد,feed,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/peh%E2%82%82-,https://en.wiktionary.org/wiki/%D8%A2%D8%A8%D8%A7%D8%AF,https://en.wiktionary.org/wiki/feed
11,*peh₂-,آباد,fodder,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/peh%E2%82%82-,https://en.wiktionary.org/wiki/%D8%A2%D8%A8%D8%A7%D8%AF,https://en.wiktionary.org/wiki/fodder
12,*peh₂-,آباد,food,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/peh%E2%82%82-,https://en.wiktionary.org/wiki/%D8%A2%D8%A8%D8%A7%D8%AF,https://en.wiktionary.org/wiki/food
13,*peh₂-,آباد,pandemic,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/peh%E2%82%82-,https://en.wiktionary.org/wiki/%D8%A2%D8%A8%D8%A7%D8%AF,https://en.wiktionary.org/wiki/pandemic
14,*peh₂-,آباد,wallah,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/peh%E2%82%82-,https://en.wiktionary.org/wiki/%D8%A2%D8%A8%D8%A7%D8%AF,https://en.wiktionary.org/wiki/wallah
15,*h₁rewg-,آروغ,bruit,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/h%E2%82%81rewg-,https://en.wiktionary.org/wiki/%D8%A2%D8%B1%D9%88%D8%BA,https://en.wiktionary.org/wiki/bruit
16,*ǵenh₁-,آزاد,kinchin,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/%C7%B5enh%E2%82%81-,https://en.wiktionary.org/wiki/%D8%A2%D8%B2%D8%A7%D8%AF,https://en.wiktionary.org/wiki/kinchin
17,*ǵenh₁-,آزاد,kine-,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/%C7%B5enh%E2%82%81-,https://en.wiktionary.org/wiki/%D8%A2%D8%B2%D8%A7%D8%AF,https://en.wiktionary.org/wiki/kine-
18,*lewbʰ-,آلفته,leaf,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/lewb%CA%B0-,https://en.wiktionary.org/wiki/%D8%A2%D9%84%D9%81%D8%AA%D9%87,https://en.wiktionary.org/wiki/leaf
19,*lewbʰ-,آلفته,lib,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/lewb%CA%B0-,https://en.wiktionary.org/wiki/%D8%A2%D9%84%D9%81%D8%AA%D9%87,https://en.wiktionary.org/wiki/lib
20,*lewbʰ-,آلفته,lobby,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/lewb%CA%B0-,https://en.wiktionary.org/wiki/%D8%A2%D9%84%D9%81%D8%AA%D9%87,https://en.wiktionary.org/wiki/lobby
21,*lewbʰ-,آلفته,lofe,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/lewb%CA%B0-,https://en.wiktionary.org/wiki/%D8%A2%D9%84%D9%81%D8%AA%D9%87,https://en.wiktionary.org/wiki/lofe
22,*lewbʰ-,آلفته,love,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/lewb%CA%B0-,https://en.wiktionary.org/wiki/%D8%A2%D9%84%D9%81%D8%AA%D9%87,https://en.wiktionary.org/wiki/love
23,*h₂erǵ-,آله,argumentative,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/h%E2%82%82er%C7%B5-,https://en.wiktionary.org/wiki/%D8%A2%D9%84%D9%87,https://en.wiktionary.org/wiki/argumentative
24,*wṓkʷs,آواز,voice,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/w%E1%B9%93k%CA%B7s,https://en.wiktionary.org/wiki/%D8%A2%D9%88%D8%A7%D8%B2,https://en.wiktionary.org/wiki/voice
25,*weyk-,آویختن,weak,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/weyk-,https://en.wiktionary.org/wiki/%D8%A2%D9%88%DB%8C%D8%AE%D8%AA%D9%86,https://en.wiktionary.org/wiki/weak
26,*weyk-,آویختن,wrixle,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/weyk-,https://en.wiktionary.org/wiki/%D8%A2%D9%88%DB%8C%D8%AE%D8%AA%D9%86,https://en.wiktionary.org/wiki/wrixle
27,*h₁ey-,آی,eid,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/h%E2%82%81ey-,https://en.wiktionary.org/wiki/%D8%A2%DB%8C,https://en.wiktionary.org/wiki/eid
28,*h₁ey-,آی,exit,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/h%E2%82%81ey-,https://en.wiktionary.org/wiki/%D8%A2%DB%8C,https://en.wiktionary.org/wiki/exit
29,*h₁ey-,آی,January,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/h%E2%82%81ey-,https://en.wiktionary.org/wiki/%D8%A2%DB%8C,https://en.wiktionary.org/wiki/January
30,*h₃órbʰos,اربون,orphan,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/h%E2%82%83%C3%B3rb%CA%B0os,https://en.wiktionary.org/wiki/%D8%A7%D8%B1%D8%A8%D9%88%D9%86,https://en.wiktionary.org/wiki/orphan
31,*sekʷ-,از,see,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/sek%CA%B7-,https://en.wiktionary.org/wiki/%D8%A7%D8%B2,https://en.wiktionary.org/wiki/see
32,*sekʷ-,از,seg,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/sek%CA%B7-,https://en.wiktionary.org/wiki/%D8%A7%D8%B2,https://en.wiktionary.org/wiki/seg
33,*sekʷ-,از,sequester,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/sek%CA%B7-,https://en.wiktionary.org/wiki/%D8%A7%D8%B2,https://en.wiktionary.org/wiki/sequester
34,*sekʷ-,از,soken,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/sek%CA%B7-,https://en.wiktionary.org/wiki/%D8%A7%D8%B2,https://en.wiktionary.org/wiki/soken
35,*h₁éḱwos,اسب,Epona,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/h%E2%82%81%C3%A9%E1%B8%B1wos,https://en.wiktionary.org/wiki/%D8%A7%D8%B3%D8%A8,https://en.wiktionary.org/wiki/Epona
36,*ḱwṓ,اسبه,Cynic,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/%E1%B8%B1w%E1%B9%93,https://en.wiktionary.org/wiki/%D8%A7%D8%B3%D8%A8%D9%87,https://en.wiktionary.org/wiki/Cynic
37,*ḱwṓ,اسبه,hound,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/%E1%B8%B1w%E1%B9%93,https://en.wiktionary.org/wiki/%D8%A7%D8%B3%D8%A8%D9%87,https://en.wiktionary.org/wiki/hound
38,*ḱwṓ,اسبه,kennel,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/%E1%B8%B1w%E1%B9%93,https://en.wiktionary.org/wiki/%D8%A7%D8%B3%D8%A8%D9%87,https://en.wiktionary.org/wiki/kennel
39,*h₁ésti,است,is,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/h%E2%82%81%C3%A9sti,https://en.wiktionary.org/wiki/%D8%A7%D8%B3%D8%AA,https://en.wiktionary.org/wiki/is
40,*spey-,اسفناج,spike,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/spey-,https://en.wiktionary.org/wiki/%D8%A7%D8%B3%D9%81%D9%86%D8%A7%D8%AC,https://en.wiktionary.org/wiki/spike
41,*sem-,اندام,sam,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/sem-,https://en.wiktionary.org/wiki/%D8%A7%D9%86%D8%AF%D8%A7%D9%85,https://en.wiktionary.org/wiki/sam
42,*sem-,اندام,sambar,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/sem-,https://en.wiktionary.org/wiki/%D8%A7%D9%86%D8%AF%D8%A7%D9%85,https://en.wiktionary.org/wiki/sambar
43,*sem-,اندام,singulative,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/sem-,https://en.wiktionary.org/wiki/%D8%A7%D9%86%D8%AF%D8%A7%D9%85,https://en.wiktionary.org/wiki/singulative
