,Proto-Sino-Tibetan Root,Tibetan Word,Chinese Word,Proto-Sino-Tibetan URL,Tibetan URL,Chinese URL
0,*g-tam ~ g-dam,གཏོམ,談,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/g-tam_~_g-dam,https://en.wiktionary.org/wiki/%E0%BD%82%E0%BD%8F%E0%BD%BC%E0%BD%98,https://en.wiktionary.org/wiki/%E8%AB%87
1,*g-tam ~ g-dam,གཏོམ་པ,談,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/g-tam_~_g-dam,https://en.wiktionary.org/wiki/%E0%BD%82%E0%BD%8F%E0%BD%BC%E0%BD%98%E0%BC%8B%E0%BD%94,https://en.wiktionary.org/wiki/%E8%AB%87
2,*g-tam ~ g-dam,འདོམས,談,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/g-tam_~_g-dam,https://en.wiktionary.org/wiki/%E0%BD%A0%E0%BD%91%E0%BD%BC%E0%BD%98%E0%BD%A6,https://en.wiktionary.org/wiki/%E8%AB%87
3,*g-tam ~ g-dam,འདོམས་པ,談,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/g-tam_~_g-dam,https://en.wiktionary.org/wiki/%E0%BD%A0%E0%BD%91%E0%BD%BC%E0%BD%98%E0%BD%A6%E0%BC%8B%E0%BD%94,https://en.wiktionary.org/wiki/%E8%AB%87
4,*kak,ཁག་པོ,極,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/kak,https://en.wiktionary.org/wiki/%E0%BD%81%E0%BD%82%E0%BC%8B%E0%BD%94%E0%BD%BC,https://en.wiktionary.org/wiki/%E6%A5%B5
5,*glaŋ,ལྕང་མ,象,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/gla%C5%8B,https://en.wiktionary.org/wiki/%E0%BD%A3%E0%BE%95%E0%BD%84%E0%BC%8B%E0%BD%98,https://en.wiktionary.org/wiki/%E8%B1%A1
6,*s-ŋja,ཉ,牙,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/s-%C5%8Bja,https://en.wiktionary.org/wiki/%E0%BD%89,https://en.wiktionary.org/wiki/%E7%89%99
7,*s-b/m-ruːl,སྦྲུལ,閩,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/s-b/m-ru%CB%90l,https://en.wiktionary.org/wiki/%E0%BD%A6%E0%BE%A6%E0%BE%B2%E0%BD%B4%E0%BD%A3,https://en.wiktionary.org/wiki/%E9%96%A9
8,*g-sum,གསུམ,三,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/g-sum,https://en.wiktionary.org/wiki/%E0%BD%82%E0%BD%A6%E0%BD%B4%E0%BD%98,https://en.wiktionary.org/wiki/%E4%B8%89
9,*l/b-ŋa,ལྔ,五,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/l/b-%C5%8Ba,https://en.wiktionary.org/wiki/%E0%BD%A3%E0%BE%94,https://en.wiktionary.org/wiki/%E4%BA%94
10,*kl(j)u(ŋ/k),ཀླུང,江,https://en.wiktionary.org/wiki/Reconstruction:Proto-Sino-Tibetan/kl(j)u(%C5%8B/k),https://en.wiktionary.org/wiki/%E0%BD%80%E0%BE%B3%E0%BD%B4%E0%BD%84,https://en.wiktionary.org/wiki/%E6%B1%9F
