,Proto-Germanic Root,Danish Word,English Word,Proto-Germanic URL,Danish URL,English URL
0,*hittijaną,hitte,hit,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/hittijan%C4%85,https://en.wiktionary.org/wiki/hitte,https://en.wiktionary.org/wiki/hit
1,*natją,net,net,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/natj%C4%85,https://en.wiktionary.org/wiki/net,https://en.wiktionary.org/wiki/net
2,*matiz,mad,meat,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/matiz,https://en.wiktionary.org/wiki/mad,https://en.wiktionary.org/wiki/meat
3,*missijaną,misse,miss,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/missijan%C4%85,https://en.wiktionary.org/wiki/misse,https://en.wiktionary.org/wiki/miss
4,*missijaną,miste,miss,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/missijan%C4%85,https://en.wiktionary.org/wiki/miste,https://en.wiktionary.org/wiki/miss
5,*drepaną,dræbe,drib,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/drepan%C4%85,https://en.wiktionary.org/wiki/dr%C3%A6be,https://en.wiktionary.org/wiki/drib
6,*bisatjaną,besætte,beset,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bisatjan%C4%85,https://en.wiktionary.org/wiki/bes%C3%A6tte,https://en.wiktionary.org/wiki/beset
7,*þunnuz,tynd,thin,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/%C3%BEunnuz,https://en.wiktionary.org/wiki/tynd,https://en.wiktionary.org/wiki/thin
8,*geldą,gæld,geld,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/geld%C4%85,https://en.wiktionary.org/wiki/g%C3%A6ld,https://en.wiktionary.org/wiki/geld
9,*geldą,gæld,gelt,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/geld%C4%85,https://en.wiktionary.org/wiki/g%C3%A6ld,https://en.wiktionary.org/wiki/gelt
10,*kwikwaz,kæk,quick,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/kwikwaz,https://en.wiktionary.org/wiki/k%C3%A6k,https://en.wiktionary.org/wiki/quick
11,*spilþijaną,spilde,spald,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/spil%C3%BEijan%C4%85,https://en.wiktionary.org/wiki/spilde,https://en.wiktionary.org/wiki/spald
12,*spilþijaną,spilde,spill,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/spil%C3%BEijan%C4%85,https://en.wiktionary.org/wiki/spilde,https://en.wiktionary.org/wiki/spill
13,*ab,af,of,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/ab,https://en.wiktionary.org/wiki/af,https://en.wiktionary.org/wiki/of
14,*ab,af,off,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/ab,https://en.wiktionary.org/wiki/af,https://en.wiktionary.org/wiki/off
15,*akraz,ager,acre,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/akraz,https://en.wiktionary.org/wiki/ager,https://en.wiktionary.org/wiki/acre
16,*akraz,agerhøne,acre,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/akraz,https://en.wiktionary.org/wiki/agerh%C3%B8ne,https://en.wiktionary.org/wiki/acre
17,*akraną,agern,acorn,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/akran%C4%85,https://en.wiktionary.org/wiki/agern,https://en.wiktionary.org/wiki/acorn
18,*alinō,alen,ell,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/alin%C5%8D,https://en.wiktionary.org/wiki/alen,https://en.wiktionary.org/wiki/ell
19,*ambahtiją,amt,embassy,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/ambahtij%C4%85,https://en.wiktionary.org/wiki/amt,https://en.wiktionary.org/wiki/embassy
20,*ana,an,anent,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/ana,https://en.wiktionary.org/wiki/an,https://en.wiktionary.org/wiki/anent
21,*ana,an,anneal,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/ana,https://en.wiktionary.org/wiki/an,https://en.wiktionary.org/wiki/anneal
22,*ana,an,on,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/ana,https://en.wiktionary.org/wiki/an,https://en.wiktionary.org/wiki/on
23,*anadz,and,ennet,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/anadz,https://en.wiktionary.org/wiki/and,https://en.wiktionary.org/wiki/ennet
24,*anþeraz,anden,other,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/an%C3%BEeraz,https://en.wiktionary.org/wiki/anden,https://en.wiktionary.org/wiki/other
25,*angustiz,angst,angst,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/angustiz,https://en.wiktionary.org/wiki/angst,https://en.wiktionary.org/wiki/angst
26,*arbiją,arv,erf,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/arbij%C4%85,https://en.wiktionary.org/wiki/arv,https://en.wiktionary.org/wiki/erf
27,*þat,at,that,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/%C3%BEat,https://en.wiktionary.org/wiki/at,https://en.wiktionary.org/wiki/that
28,*þat,at,this,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/%C3%BEat,https://en.wiktionary.org/wiki/at,https://en.wiktionary.org/wiki/this
29,*ahtōutehun,atten,eighteen,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/aht%C5%8Dutehun,https://en.wiktionary.org/wiki/atten,https://en.wiktionary.org/wiki/eighteen
30,*baþą,bad,bath,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/ba%C3%BE%C4%85,https://en.wiktionary.org/wiki/bad,https://en.wiktionary.org/wiki/bath
31,*baþōną,bade,bask,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/ba%C3%BE%C5%8Dn%C4%85,https://en.wiktionary.org/wiki/bade,https://en.wiktionary.org/wiki/bask
32,*baþōną,bade,bathe,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/ba%C3%BE%C5%8Dn%C4%85,https://en.wiktionary.org/wiki/bade,https://en.wiktionary.org/wiki/bathe
