,Proto-Germanic Root,English Word,German Word,Proto-Germanic URL,English URL,German URL
0,*walhiskaz,Watling,welsch,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/walhiskaz,https://en.wiktionary.org/wiki/Watling,https://en.wiktionary.org/wiki/welsch
1,*aþalaz,Adell,edel,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/a%C3%BEalaz,https://en.wiktionary.org/wiki/Adell,https://en.wiktionary.org/wiki/edel
2,*gaizaz,Gerlach,Ger,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/gaizaz,https://en.wiktionary.org/wiki/Gerlach,https://en.wiktionary.org/wiki/Ger
3,*skūrō,Sheen,Schauer,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/sk%C5%ABr%C5%8D,https://en.wiktionary.org/wiki/Sheen,https://en.wiktionary.org/wiki/Schauer
4,*uz-,a-,er-,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/uz-,https://en.wiktionary.org/wiki/a-,https://en.wiktionary.org/wiki/er-
5,*uz-,a-,ur-,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/uz-,https://en.wiktionary.org/wiki/a-,https://en.wiktionary.org/wiki/ur-
6,*bannaną,abandon,bannen,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bannan%C4%85,https://en.wiktionary.org/wiki/abandon,https://en.wiktionary.org/wiki/bannen
7,*uz-,abite,er-,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/uz-,https://en.wiktionary.org/wiki/abite,https://en.wiktionary.org/wiki/er-
8,*uz-,abite,ur-,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/uz-,https://en.wiktionary.org/wiki/abite,https://en.wiktionary.org/wiki/ur-
9,*uz-,abraid,er-,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/uz-,https://en.wiktionary.org/wiki/abraid,https://en.wiktionary.org/wiki/er-
10,*uz-,abraid,ur-,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/uz-,https://en.wiktionary.org/wiki/abraid,https://en.wiktionary.org/wiki/ur-
11,*akraną,acorn,Buchecker,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/akran%C4%85,https://en.wiktionary.org/wiki/acorn,https://en.wiktionary.org/wiki/Buchecker
12,*akraz,acre,Acker,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/akraz,https://en.wiktionary.org/wiki/acre,https://en.wiktionary.org/wiki/Acker
13,*nadrǭ,adder,Natter,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/nadr%C7%AD,https://en.wiktionary.org/wiki/adder,https://en.wiktionary.org/wiki/Natter
14,*adalaz,addle,Odel,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/adalaz,https://en.wiktionary.org/wiki/addle,https://en.wiktionary.org/wiki/Odel
15,*aþalaz,Adel,edel,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/a%C3%BEalaz,https://en.wiktionary.org/wiki/Adel,https://en.wiktionary.org/wiki/edel
16,*aþalaz,Adela,edel,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/a%C3%BEalaz,https://en.wiktionary.org/wiki/Adela,https://en.wiktionary.org/wiki/edel
17,*ansuz,Æsir,Ansgar,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/ansuz,https://en.wiktionary.org/wiki/%C3%86sir,https://en.wiktionary.org/wiki/Ansgar
18,*fērō,afear,Gefahr,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/f%C4%93r%C5%8D,https://en.wiktionary.org/wiki/afear,https://en.wiktionary.org/wiki/Gefahr
19,*friþuz,afraid,Friede,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/fri%C3%BEuz,https://en.wiktionary.org/wiki/afraid,https://en.wiktionary.org/wiki/Friede
20,*friþuz,afraid,Frieden,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/fri%C3%BEuz,https://en.wiktionary.org/wiki/afraid,https://en.wiktionary.org/wiki/Frieden
21,*uz-,ago,er-,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/uz-,https://en.wiktionary.org/wiki/ago,https://en.wiktionary.org/wiki/er-
22,*uz-,ago,ur-,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/uz-,https://en.wiktionary.org/wiki/ago,https://en.wiktionary.org/wiki/ur-
23,*granō,Algernon,Granne,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/gran%C5%8D,https://en.wiktionary.org/wiki/Algernon,https://en.wiktionary.org/wiki/Granne
24,*galīkaz,alike,gleich,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/gal%C4%ABkaz,https://en.wiktionary.org/wiki/alike,https://en.wiktionary.org/wiki/gleich
25,*allaz,all,all,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/allaz,https://en.wiktionary.org/wiki/all,https://en.wiktionary.org/wiki/all
26,*allaz,all,aller-,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/allaz,https://en.wiktionary.org/wiki/all,https://en.wiktionary.org/wiki/aller-
27,*uzlagjaną,allay,erlegen,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/uzlagjan%C4%85,https://en.wiktionary.org/wiki/allay,https://en.wiktionary.org/wiki/erlegen
28,*alamahtīgaz,almighty,allmächtig,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/alamaht%C4%ABgaz,https://en.wiktionary.org/wiki/almighty,https://en.wiktionary.org/wiki/allm%C3%A4chtig
29,*wīsaz,Alvíssmál,Weise,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/w%C4%ABsaz,https://en.wiktionary.org/wiki/Alv%C3%ADssm%C3%A1l,https://en.wiktionary.org/wiki/Weise
30,*wīsaz,Alvíssmál,weise,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/w%C4%ABsaz,https://en.wiktionary.org/wiki/Alv%C3%ADssm%C3%A1l,https://en.wiktionary.org/wiki/weise
31,*buskaz,ambuscade,Busch,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/buskaz,https://en.wiktionary.org/wiki/ambuscade,https://en.wiktionary.org/wiki/Busch
32,*buskaz,ambush,Busch,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/buskaz,https://en.wiktionary.org/wiki/ambush,https://en.wiktionary.org/wiki/Busch
33,*-andz,-and,-end,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/-andz,https://en.wiktionary.org/wiki/-and,https://en.wiktionary.org/wiki/-end
34,*andi,and,und,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/andi,https://en.wiktionary.org/wiki/and,https://en.wiktionary.org/wiki/und
35,*angustiz,angst,Angst,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/angustiz,https://en.wiktionary.org/wiki/angst,https://en.wiktionary.org/wiki/Angst
36,*ansuz,Anselm,Ansgar,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/ansuz,https://en.wiktionary.org/wiki/Anselm,https://en.wiktionary.org/wiki/Ansgar
37,*ainagaz,any,einig,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/ainagaz,https://en.wiktionary.org/wiki/any,https://en.wiktionary.org/wiki/einig
38,*aplaz,apple,Apfel,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/aplaz,https://en.wiktionary.org/wiki/apple,https://en.wiktionary.org/wiki/Apfel
39,*harduz,-ard,hart,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/harduz,https://en.wiktionary.org/wiki/-ard,https://en.wiktionary.org/wiki/hart
40,*armaz,arm,arm,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/armaz,https://en.wiktionary.org/wiki/arm,https://en.wiktionary.org/wiki/arm
41,*armaz,arm,Arm,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/armaz,https://en.wiktionary.org/wiki/arm,https://en.wiktionary.org/wiki/Arm
42,*ermunaz,Arminius,Armin,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/ermunaz,https://en.wiktionary.org/wiki/Arminius,https://en.wiktionary.org/wiki/Armin
43,*arô,Arnold,Aar,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/ar%C3%B4,https://en.wiktionary.org/wiki/Arnold,https://en.wiktionary.org/wiki/Aar
44,*hringaz,arrange,Ring,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/hringaz,https://en.wiktionary.org/wiki/arrange,https://en.wiktionary.org/wiki/Ring
45,*raidaz,array,bereit,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/raidaz,https://en.wiktionary.org/wiki/array,https://en.wiktionary.org/wiki/bereit
46,*uzrēdaną,arread,erraten,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/uzr%C4%93dan%C4%85,https://en.wiktionary.org/wiki/arread,https://en.wiktionary.org/wiki/erraten
47,*arsaz,arse,Arsch,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/arsaz,https://en.wiktionary.org/wiki/arse,https://en.wiktionary.org/wiki/Arsch
48,*skelhaz,askile,scheel,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/skelhaz,https://en.wiktionary.org/wiki/askile,https://en.wiktionary.org/wiki/scheel
49,*arsaz,ass,Arsch,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/arsaz,https://en.wiktionary.org/wiki/ass,https://en.wiktionary.org/wiki/Arsch
50,*aitrą,atter,Eiter,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/aitr%C4%85,https://en.wiktionary.org/wiki/atter,https://en.wiktionary.org/wiki/Eiter
51,*nabōgaizaz,auger,Näber,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/nab%C5%8Dgaizaz,https://en.wiktionary.org/wiki/auger,https://en.wiktionary.org/wiki/N%C3%A4ber
52,*ahtō,aught,Acht,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/aht%C5%8D,https://en.wiktionary.org/wiki/aught,https://en.wiktionary.org/wiki/Acht
53,*ahtō,aught,achten,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/aht%C5%8D,https://en.wiktionary.org/wiki/aught,https://en.wiktionary.org/wiki/achten
54,*alkǭ,auk,Alk,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/alk%C7%AD,https://en.wiktionary.org/wiki/auk,https://en.wiktionary.org/wiki/Alk
55,*ūraz,aurochs,Auerrind,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/%C5%ABraz,https://en.wiktionary.org/wiki/aurochs,https://en.wiktionary.org/wiki/Auerrind
56,*ahslō,axle,Achsel,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/ahsl%C5%8D,https://en.wiktionary.org/wiki/axle,https://en.wiktionary.org/wiki/Achsel
57,*aiwaz,ay,jeder,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/aiwaz,https://en.wiktionary.org/wiki/ay,https://en.wiktionary.org/wiki/jeder
58,*baitō,bait,Beize,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bait%C5%8D,https://en.wiktionary.org/wiki/bait,https://en.wiktionary.org/wiki/Beize
59,*bakaną,bake,backen,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bakan%C4%85,https://en.wiktionary.org/wiki/bake,https://en.wiktionary.org/wiki/backen
60,*bakārijaz,baker,Bäcker,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bak%C4%81rijaz,https://en.wiktionary.org/wiki/baker,https://en.wiktionary.org/wiki/B%C3%A4cker
61,*balkô,balcony,Balken,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/balk%C3%B4,https://en.wiktionary.org/wiki/balcony,https://en.wiktionary.org/wiki/Balken
62,*balkô,balcony,Balkon,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/balk%C3%B4,https://en.wiktionary.org/wiki/balcony,https://en.wiktionary.org/wiki/Balkon
63,*balkô,balk,Balken,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/balk%C3%B4,https://en.wiktionary.org/wiki/balk,https://en.wiktionary.org/wiki/Balken
64,*balkô,balk,Balkon,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/balk%C3%B4,https://en.wiktionary.org/wiki/balk,https://en.wiktionary.org/wiki/Balkon
65,*balluz,ball,Ball,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/balluz,https://en.wiktionary.org/wiki/ball,https://en.wiktionary.org/wiki/Ball
66,*bannaną,ban,bannen,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bannan%C4%85,https://en.wiktionary.org/wiki/ban,https://en.wiktionary.org/wiki/bannen
67,*bannaną,banal,bannen,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bannan%C4%85,https://en.wiktionary.org/wiki/banal,https://en.wiktionary.org/wiki/bannen
68,*burgz,Banbury,Burg,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/burgz,https://en.wiktionary.org/wiki/Banbury,https://en.wiktionary.org/wiki/Burg
69,*bangilaz,bangle,Bengel,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bangilaz,https://en.wiktionary.org/wiki/bangle,https://en.wiktionary.org/wiki/Bengel
70,*bannaną,banish,bannen,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bannan%C4%85,https://en.wiktionary.org/wiki/banish,https://en.wiktionary.org/wiki/bannen
71,*bankiz,bank,Bank,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bankiz,https://en.wiktionary.org/wiki/bank,https://en.wiktionary.org/wiki/Bank
72,*bergaz,barrow,Berg,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bergaz,https://en.wiktionary.org/wiki/barrow,https://en.wiktionary.org/wiki/Berg
73,*baþōną,bask,baden,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/ba%C3%BE%C5%8Dn%C4%85,https://en.wiktionary.org/wiki/bask,https://en.wiktionary.org/wiki/baden
74,*bakiz,batch,Bach,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bakiz,https://en.wiktionary.org/wiki/batch,https://en.wiktionary.org/wiki/Bach
75,*bakiz,batch,-beck,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bakiz,https://en.wiktionary.org/wiki/batch,https://en.wiktionary.org/wiki/-beck
76,*bakiz,batch,Lübeck,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bakiz,https://en.wiktionary.org/wiki/batch,https://en.wiktionary.org/wiki/L%C3%BCbeck
77,*baþą,bath,Bad,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/ba%C3%BE%C4%85,https://en.wiktionary.org/wiki/bath,https://en.wiktionary.org/wiki/Bad
78,*baþōną,bathe,baden,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/ba%C3%BE%C5%8Dn%C4%85,https://en.wiktionary.org/wiki/bathe,https://en.wiktionary.org/wiki/baden
79,*bi-,be-,be-,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bi-,https://en.wiktionary.org/wiki/be-,https://en.wiktionary.org/wiki/be-
80,*bi-,be-,binnen,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bi-,https://en.wiktionary.org/wiki/be-,https://en.wiktionary.org/wiki/binnen
81,*bakiz,beach,Bach,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bakiz,https://en.wiktionary.org/wiki/beach,https://en.wiktionary.org/wiki/Bach
82,*bakiz,beach,-beck,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bakiz,https://en.wiktionary.org/wiki/beach,https://en.wiktionary.org/wiki/-beck
83,*bakiz,beach,Lübeck,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bakiz,https://en.wiktionary.org/wiki/beach,https://en.wiktionary.org/wiki/L%C3%BCbeck
84,*baukną,beacon,Bake,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/baukn%C4%85,https://en.wiktionary.org/wiki/beacon,https://en.wiktionary.org/wiki/Bake
85,*budilaz,beadle,Büttel,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/budilaz,https://en.wiktionary.org/wiki/beadle,https://en.wiktionary.org/wiki/B%C3%BCttel
86,*baunō,bean,Bohne,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/baun%C5%8D,https://en.wiktionary.org/wiki/bean,https://en.wiktionary.org/wiki/Bohne
87,*berô,bear,Bär,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/ber%C3%B4,https://en.wiktionary.org/wiki/bear,https://en.wiktionary.org/wiki/B%C3%A4r
88,*bardaz,beard,Bart,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bardaz,https://en.wiktionary.org/wiki/beard,https://en.wiktionary.org/wiki/Bart
89,*bebruz,beaver,Biber,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bebruz,https://en.wiktionary.org/wiki/beaver,https://en.wiktionary.org/wiki/Biber
90,*bi-,bebay,be-,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bi-,https://en.wiktionary.org/wiki/bebay,https://en.wiktionary.org/wiki/be-
91,*bi-,bebay,binnen,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bi-,https://en.wiktionary.org/wiki/bebay,https://en.wiktionary.org/wiki/binnen
92,*bakiz,beck,Bach,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bakiz,https://en.wiktionary.org/wiki/beck,https://en.wiktionary.org/wiki/Bach
93,*bakiz,beck,-beck,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bakiz,https://en.wiktionary.org/wiki/beck,https://en.wiktionary.org/wiki/-beck
94,*bakiz,beck,Lübeck,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bakiz,https://en.wiktionary.org/wiki/beck,https://en.wiktionary.org/wiki/L%C3%BCbeck
95,*bi-,beclip,be-,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bi-,https://en.wiktionary.org/wiki/beclip,https://en.wiktionary.org/wiki/be-
96,*bi-,beclip,binnen,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bi-,https://en.wiktionary.org/wiki/beclip,https://en.wiktionary.org/wiki/binnen
97,*bikwemaną,become,bekommen,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bikweman%C4%85,https://en.wiktionary.org/wiki/become,https://en.wiktionary.org/wiki/bekommen
98,*badją,bed,Beet,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/badj%C4%85,https://en.wiktionary.org/wiki/bed,https://en.wiktionary.org/wiki/Beet
99,*badją,bed,Bett,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/badj%C4%85,https://en.wiktionary.org/wiki/bed,https://en.wiktionary.org/wiki/Bett
100,*bainą,been,Bein,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bain%C4%85,https://en.wiktionary.org/wiki/been,https://en.wiktionary.org/wiki/Bein
101,*beuzą,beer,Bier,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/beuz%C4%85,https://en.wiktionary.org/wiki/beer,https://en.wiktionary.org/wiki/Bier
102,*bi-,befile,be-,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bi-,https://en.wiktionary.org/wiki/befile,https://en.wiktionary.org/wiki/be-
103,*bi-,befile,binnen,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bi-,https://en.wiktionary.org/wiki/befile,https://en.wiktionary.org/wiki/binnen
104,*biginnaną,begin,beginnen,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/biginnan%C4%85,https://en.wiktionary.org/wiki/begin,https://en.wiktionary.org/wiki/beginnen
105,*bi,bego,bei,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bi,https://en.wiktionary.org/wiki/bego,https://en.wiktionary.org/wiki/bei
