,Proto-Turkic Root,Kazakh Word,Azerbaijani Word,Proto-Turkic URL,Kazakh URL,Azerbaijani URL
0,*kïŕïl,қызыл,qızıl,https://en.wiktionary.org/wiki/Reconstruction:Proto-Turkic/k%C3%AF%C5%95%C3%AFl,https://en.wiktionary.org/wiki/%D2%9B%D1%8B%D0%B7%D1%8B%D0%BB,https://en.wiktionary.org/wiki/q%C4%B1z%C4%B1l
1,edit,жиде,üçün,https://en.wiktionary.org/w/index.php?title=%D0%B6%D0%B8%D0%B4%D0%B5&action=edit&section=3,https://en.wiktionary.org/wiki/%D0%B6%D0%B8%D0%B4%D0%B5,https://en.wiktionary.org/wiki/%C3%BC%C3%A7%C3%BCn
2,*ata,атай,ata,https://en.wiktionary.org/wiki/Reconstruction:Proto-Turkic/ata,https://en.wiktionary.org/wiki/%D0%B0%D1%82%D0%B0%D0%B9,https://en.wiktionary.org/wiki/ata
3,*ač-,ашық,açmaq,https://en.wiktionary.org/wiki/Reconstruction:Proto-Turkic/a%C4%8D-,https://en.wiktionary.org/wiki/%D0%B0%D1%88%D1%8B%D2%9B,https://en.wiktionary.org/wiki/a%C3%A7maq
4,*āk,ақ,ağ,https://en.wiktionary.org/wiki/Reconstruction:Proto-Turkic/%C4%81k,https://en.wiktionary.org/wiki/%D0%B0%D2%9B,https://en.wiktionary.org/wiki/a%C4%9F
5,*buŕagu,бұзау,buzov,https://en.wiktionary.org/wiki/Reconstruction:Proto-Turkic/bu%C5%95agu,https://en.wiktionary.org/wiki/%D0%B1%D2%B1%D0%B7%D0%B0%D1%83,https://en.wiktionary.org/wiki/buzov
6,*yagï,жау,yağı,https://en.wiktionary.org/wiki/Reconstruction:Proto-Turkic/yag%C3%AF,https://en.wiktionary.org/wiki/%D0%B6%D0%B0%D1%83,https://en.wiktionary.org/wiki/ya%C4%9F%C4%B1
7,*yaŋï,жаңа,yeni,https://en.wiktionary.org/wiki/Reconstruction:Proto-Turkic/ya%C5%8B%C3%AF,https://en.wiktionary.org/wiki/%D0%B6%D0%B0%D2%A3%D0%B0,https://en.wiktionary.org/wiki/yeni
8,*yüŕük,жүзік,üzük,https://en.wiktionary.org/wiki/Reconstruction:Proto-Turkic/y%C3%BC%C5%95%C3%BCk,https://en.wiktionary.org/wiki/%D0%B6%D2%AF%D0%B7%D1%96%D0%BA,https://en.wiktionary.org/wiki/%C3%BCz%C3%BCk
9,*göt,көт,göt,https://en.wiktionary.org/wiki/Reconstruction:Proto-Turkic/g%C3%B6t,https://en.wiktionary.org/wiki/%D0%BA%D3%A9%D1%82,https://en.wiktionary.org/wiki/g%C3%B6t
10,*būŕ,мұз,buz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Turkic/b%C5%AB%C5%95,https://en.wiktionary.org/wiki/%D0%BC%D2%B1%D0%B7,https://en.wiktionary.org/wiki/buz
11,*otuŕ,отыз,otuz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Turkic/otu%C5%95,https://en.wiktionary.org/wiki/%D0%BE%D1%82%D1%8B%D0%B7,https://en.wiktionary.org/wiki/otuz
12,*ok,оқ,ox,https://en.wiktionary.org/wiki/Reconstruction:Proto-Turkic/ok,https://en.wiktionary.org/wiki/%D0%BE%D2%9B,https://en.wiktionary.org/wiki/ox
13,*sekiz,сегіз,səkkiz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Turkic/sekiz,https://en.wiktionary.org/wiki/%D1%81%D0%B5%D0%B3%D1%96%D0%B7,https://en.wiktionary.org/wiki/s%C9%99kkiz
14,*sen,сен,sən,https://en.wiktionary.org/wiki/Reconstruction:Proto-Turkic/sen,https://en.wiktionary.org/wiki/%D1%81%D0%B5%D0%BD,https://en.wiktionary.org/wiki/s%C9%99n
15,*söŕ,сөз,söz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Turkic/s%C3%B6%C5%95,https://en.wiktionary.org/wiki/%D1%81%D3%A9%D0%B7,https://en.wiktionary.org/wiki/s%C3%B6z
16,*kiān,қан,qan,https://en.wiktionary.org/wiki/Reconstruction:Proto-Turkic/ki%C4%81n,https://en.wiktionary.org/wiki/%D2%9B%D0%B0%D0%BD,https://en.wiktionary.org/wiki/qan
17,*kara,қара,qara,https://en.wiktionary.org/wiki/Reconstruction:Proto-Turkic/kara,https://en.wiktionary.org/wiki/%D2%9B%D0%B0%D1%80%D0%B0,https://en.wiktionary.org/wiki/qara
18,*kum,құм,qum,https://en.wiktionary.org/wiki/Reconstruction:Proto-Turkic/kum,https://en.wiktionary.org/wiki/%D2%9B%D2%B1%D0%BC,https://en.wiktionary.org/wiki/qum
19,*üč,үш,üç,https://en.wiktionary.org/wiki/Reconstruction:Proto-Turkic/%C3%BC%C4%8D,https://en.wiktionary.org/wiki/%D2%AF%D1%88,https://en.wiktionary.org/wiki/%C3%BC%C3%A7
